mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass;isCoref;corefSupport;corefConfidence
[(null)-(null)];TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;OTHER;OTHER;TRUE;0.000169;0.73913
[(null)-(null)];TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;TRUE;0.000022;0.666667
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;PERSON;PERSON;TRUE;0.000044;0.666667
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;PERSON;OTHER;TRUE;0.000022;0.666667
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;PERSON;PERSON;TRUE;0.000623;0.635294
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;PERSON;OTHER;TRUE;0.000051;0.571429
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;OTHER;OTHER;TRUE;0.000015;0.5
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;PERSON;OTHER;TRUE;0.000015;0.5
[(null)-(null)];FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;LOCATION;ORGANIZATION;TRUE;0.000015;0.5
[(null)-(null)];TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;OTHER;OTHER;TRUE;0.000242;0.454545
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;OTHER;TRUE;0.000198;0.37037
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;PERSON;TRUE;0.000161;0.363636
[(null)-(null)];TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;OTHER;OTHER;TRUE;0.000359;0.346939
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;OTHER;PERSON;TRUE;0.000257;0.342857
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;LOCATION;ORGANIZATION;TRUE;0.000022;0.333333
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;PERSON;PERSON;TRUE;0.002053;0.321429
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;LOCATION;LOCATION;TRUE;0.000462;0.31746
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;OTHER;PERSON;TRUE;0.000117;0.3125
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;PERSON;OTHER;TRUE;0.000169;0.304348
[(null)-(null)];TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;OTHER;OTHER;TRUE;0.000051;0.285714
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;LOCATION;LOCATION;TRUE;0.000051;0.285714
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;PERSON;OTHER;TRUE;0.000286;0.230769
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;OTHER;PERSON;TRUE;0.000095;0.230769
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;ORGANIZATION;OTHER;TRUE;0.000066;0.222222
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;PERSON;PERSON;TRUE;0.00011;0.2
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;PERSON;ORGANIZATION;TRUE;0.000037;0.2
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;PERSON;OTHER;TRUE;0.003073;0.174224
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;ORGANIZATION;TRUE;0.000257;0.171429
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;PERSON;OTHER;TRUE;0.000044;0.166667
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;LOCATION;PERSON;TRUE;0.000418;0.157895
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;OTHER;PERSON;TRUE;0.000755;0.145631
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;LOCATION;OTHER;TRUE;0.000051;0.142857
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;OTHER;PERSON;TRUE;0.000315;0.139535
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;PERSON;OTHER;TRUE;0.007861;0.13806
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;OTHER;PERSON;TRUE;0.000374;0.137255
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;OTHER;ORGANIZATION;TRUE;0.00011;0.133333
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;PERSON;TRUE;0.000682;0.129032
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;PERSON;OTHER;TRUE;0.000059;0.125
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;OTHER;ORGANIZATION;TRUE;0.000176;0.125
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;OTHER;ORGANIZATION;TRUE;0.000491;0.119403
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;ORGANIZATION;TRUE;0.000689;0.117021
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;PERSON;TRUE;0.004326;0.115254
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;OTHER;OTHER;TRUE;0.000579;0.113924
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;PERSON;OTHER;TRUE;0.000066;0.111111
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;LOCATION;TRUE;0.000066;0.111111
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;ORGANIZATION;OTHER;TRUE;0.000066;0.111111
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;ORGANIZATION;OTHER;TRUE;0.001137;0.109677
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;PERSON;LOCATION;TRUE;0.000271;0.108108
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;PERSON;TRUE;0.002691;0.106267
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;LOCATION;OTHER;TRUE;0.000147;0.1
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;PERSON;ORGANIZATION;TRUE;0.000249;0.088235
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;OTHER;OTHER;TRUE;0.000257;0.085714
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;PERSON;TRUE;0.002471;0.083086
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;OTHER;LOCATION;TRUE;0.000286;0.076923
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;LOCATION;LOCATION;TRUE;0.000675;0.065217
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;OTHER;OTHER;TRUE;0.00341;0.062366
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;LOCATION;OTHER;TRUE;0.001767;0.053942
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;OTHER;PERSON;TRUE;0.001533;0.052632
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;ORGANIZATION;TRUE;0.001261;0.052326
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;LOCATION;TRUE;0.002354;0.049844
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;PERSON;OTHER;TRUE;0.000887;0.049587
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;LOCATION;TRUE;0.001335;0.049451
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;ORGANIZATION;OTHER;TRUE;0.00297;0.049383
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;OTHER;ORGANIZATION;TRUE;0.002295;0.047923
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;OTHER;LOCATION;TRUE;0.000154;0.047619
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;TRUE;0.006922;0.04661
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;LOCATION;TRUE;0.002053;0.046429
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;OTHER;PERSON;TRUE;0.003791;0.046422
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;PERSON;PERSON;TRUE;0.000161;0.045455
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;OTHER;PERSON;TRUE;0.000499;0.044118
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;TRUE;0.001723;0.042553
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;OTHER;TRUE;0.002545;0.034582
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;TRUE;0.001093;0.033557
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;OTHER;OTHER;TRUE;0.000697;0.031579
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;LOCATION;OTHER;TRUE;0.003542;0.031056
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;OTHER;TRUE;0.000506;0.028986
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;LOCATION;TRUE;0.000513;0.028571
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;LOCATION;TRUE;0.000792;0.027778
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;TRUE;0.024566;0.025373
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;PERSON;TRUE;0.00088;0.025
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;OTHER;OTHER;TRUE;0.000308;0.02381
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;OTHER;TRUE;0.001254;0.023392
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;OTHER;OTHER;TRUE;0.00833;0.022887
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;ORGANIZATION;TRUE;0.001621;0.022624
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;PERSON;TRUE;0.000675;0.021739
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;ORGANIZATION;TRUE;0.000352;0.020833
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;LOCATION;TRUE;0.000352;0.020833
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;ORGANIZATION;TRUE;0.001078;0.020408
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;OTHER;LOCATION;TRUE;0.002919;0.020101
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;LOCATION;TRUE;0.001591;0.018433
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;OTHER;TRUE;0.009247;0.018239
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;TRUE;0.004063;0.018051
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;OTHER;ORGANIZATION;TRUE;0.000946;0.015504
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;OTHER;TRUE;0.015979;0.015145
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;ORGANIZATION;TRUE;0.004422;0.014925
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;LOCATION;TRUE;0.000997;0.014706
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;OTHER;TRUE;0.003593;0.014286
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;LOCATION;TRUE;0.005742;0.014049
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;OTHER;OTHER;TRUE;0.019139;0.01341
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;LOCATION;TRUE;0.003329;0.013216
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;TRUE;0.065924;0.013014
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;TRUE;0.020151;0.012373
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;LOCATION;TRUE;0.011271;0.012362
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;TRUE;0.028702;0.011497
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;PERSON;TRUE;0.004656;0.011024
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;LOCATION;TRUE;0.008374;0.009632
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;LOCATION;TRUE;0.026766;0.007945
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;PERSON;TRUE;0.01122;0.007843
[(null)-(null)];FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;OTHER;OTHER;TRUE;0.00198;0.007407
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;OTHER;TRUE;0.003197;0.006881
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;OTHER;OTHER;TRUE;0.01933;0.006449
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;TRUE;0.083391;0.005892
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;OTHER;OTHER;TRUE;0.001335;0.005495
[(null)-(null)];FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;OTHER;OTHER;TRUE;0.010743;0.005461
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;TRUE;0.031055;0.005431
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;TRUE;0.011975;0.004899
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;TRUE;0.009372;0.003912
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;TRUE;0.002024;0.003623
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;TRUE;0.017445;0.003363
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;TRUE;0.008778;0.003342
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;TRUE;0.008836;0.00332
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;OTHER;OTHER;TRUE;0.007076;0.003109
[(null)-(null)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;TRUE;0.082064;0.001966
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;TRUE;0.232722;0.001765
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;TRUE;0.032251;0.001364
[(null)-(null)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;TRUE;0.041835;0.000701
