TopicWeight;CorefThreshold;Precision;Recall;Fmeasure
0.0;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.01;0.85;0.28997620810351343;0.7711535689430594;0.41400715186923776
0.02;0.85;0.30695153635158046;0.7692848820743727;0.430779159261202
0.03;0.85;0.3220384336802538;0.7687882490777395;0.44521594267863185
0.04;0.85;0.34128707723424817;0.7649725504107823;0.4613297669806207
0.05;0.85;0.3601981707316678;0.7639921582539195;0.47762583512776063
0.06;0.85;0.37593805323899343;0.7647497340114953;0.4921232295500472
0.07;0.85;0.38561119020212664;0.7588298205915819;0.4991947292550927
0.08;0.85;0.39758217844251437;0.7552944670562283;0.5086591828010413
0.09;0.85;0.4097409998798645;0.7516904086009113;0.5176703500920745
0.1;0.85;0.42330013321400745;0.7487911567949257;0.5275147383183597
0.11;0.85;0.4367184520873307;0.7462911567949259;0.5375879340964383
0.12;0.85;0.45115688567921797;0.7464324823309881;0.549448834881057
0.13;0.85;0.46438599400913777;0.7406860083027804;0.5571967670460777
0.14;0.85;0.4865444471063443;0.7340193416361137;0.5715016547098252
0.15;0.85;0.4964331653836561;0.7305471194138916;0.5779269643883324
0.16;0.85;0.5136315919856543;0.7230253753303626;0.5859338865949381
0.17;0.85;0.5315532117196138;0.7168265449210058;0.5951991946363201
0.18;0.85;0.5465766290716626;0.7109845465054779;0.6026527893488232
0.19;0.85;0.5610708728641632;0.6990361297118601;0.6067479048654741
0.2;0.85;0.5795552149043711;0.6887883930573897;0.6146535835702038
0.21;0.85;0.5967745227492479;0.6787533613679461;0.619466559509852
0.22;0.85;0.620108968420788;0.6692138979217489;0.6286944910340335
0.23;0.85;0.6398995129313667;0.6632496935207597;0.6366634770630708
0.24;0.85;0.6552921682720444;0.6523936385277078;0.6377552544563012
0.25;0.85;0.6703488445535657;0.631483585889714;0.6316743782624155
0.26;0.85;0.6871295880570903;0.6221552239781476;0.6340022978487766
0.27;0.85;0.7010812485444836;0.5985594805546178;0.6216762462000428
