TopicWeight;CorefThreshold;Precision;Recall;Fmeasure
0.0;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.01;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.02;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.03;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.04;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.05;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.06;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.07;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.08;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.09;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.1;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.11;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.12;0.85;0.27784920565490207;0.7692091244986149;0.401174613162001
0.13;0.85;0.28913252708100995;0.7682287323417522;0.413171099545882
0.14;0.85;0.2897562225079257;0.7682287323417522;0.41384685801251775
0.15;0.85;0.29127284533942877;0.7682287323417522;0.41563990620654523
0.16;0.85;0.2915917528731106;0.7682287323417522;0.4160401363215541
0.17;0.85;0.2915917528731106;0.7682287323417522;0.4160401363215541
0.18;0.85;0.2915917528731106;0.7682287323417522;0.4160401363215541
0.19;0.85;0.2915917528731106;0.7682287323417522;0.4160401363215541
0.2;0.85;0.2917078968916937;0.7682287323417522;0.41616544960476226
0.21;0.85;0.2917078968916937;0.7682287323417522;0.41616544960476226
0.22;0.85;0.2935033434657762;0.767351539359296;0.41780861749805104
0.23;0.85;0.2935033434657762;0.767351539359296;0.41780861749805104
0.24;0.85;0.29406403957205657;0.767351539359296;0.4184870620787038
0.25;0.85;0.29406403957205657;0.767351539359296;0.4184870620787038
0.26;0.85;0.29406403957205657;0.767351539359296;0.4184870620787038
0.27;0.85;0.29406403957205657;0.767351539359296;0.4184870620787038
0.28;0.85;0.29406403957205657;0.767351539359296;0.4184870620787038
0.29;0.85;0.29406403957205657;0.767351539359296;0.4184870620787038
0.3;0.85;0.29476206253904047;0.7640182060259627;0.41893570773389077
0.31;0.85;0.30019145587251095;0.7536369450117094;0.4224537534480215
0.32;0.85;0.3001422404670821;0.7525952783450427;0.4222286810037718
0.33;0.85;0.3001422404670821;0.7525952783450427;0.4222286810037718
0.34;0.85;0.3001422404670821;0.7525952783450427;0.4222286810037718
0.35;0.85;0.3001422404670821;0.7525952783450427;0.4222286810037718
0.36;0.85;0.3001422404670821;0.7525952783450427;0.4222286810037718
0.37;0.85;0.30093847853479055;0.7525952783450427;0.4230614487796362
0.38;0.85;0.30093847853479055;0.7525952783450427;0.4230614487796362
0.39;0.85;0.30093847853479055;0.7525952783450427;0.4230614487796362
0.4;0.85;0.3013908766690131;0.7525952783450427;0.4235651849118035
0.41;0.85;0.3030572723329022;0.7500952783450427;0.4250051578466408
0.42;0.85;0.30307673544060065;0.7500952783450427;0.42507173641535156
0.43;0.85;0.30307673544060065;0.7500952783450427;0.42507173641535156
0.44;0.85;0.30307673544060065;0.7500952783450427;0.42507173641535156
