TopicWeight;CorefThreshold;Precision;Recall;Fmeasure
0.0;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.01;0.85;0.2806508507378663;0.7663519816414721;0.4036001907910246
0.02;0.85;0.2881933249879399;0.7642604783734982;0.410828412375362
0.03;0.85;0.2935050691684007;0.7624086265216463;0.41594172642116156
0.04;0.85;0.298964370037107;0.7586273931351498;0.42049133369343306
0.05;0.85;0.30450677405660215;0.754535752086987;0.4251914637715017
0.06;0.85;0.3098599910952197;0.7507775821523466;0.42992989751778266
0.07;0.85;0.31430307058857865;0.7446391457836471;0.43288076899099287
0.08;0.85;0.31821143960393683;0.7399586114163278;0.4355894863960642
0.09;0.85;0.3238840260704324;0.7379588202717998;0.44062652263238294
0.1;0.85;0.3314124549288412;0.7352297754374918;0.44664433434211204
0.11;0.85;0.3368830587427826;0.7263691769716302;0.4491902295645745
0.12;0.85;0.3457271098107169;0.7255755261779794;0.4568475216847781
0.13;0.85;0.3555559836287269;0.7220131480103381;0.46478145997038195
0.14;0.85;0.3656872423154357;0.7170645018852214;0.4717356207531604
0.15;0.85;0.37237555019520513;0.7102336263872979;0.47591426184299374
0.16;0.85;0.37842407148792406;0.7059030658802669;0.47986818523646163
0.17;0.85;0.38722964403419335;0.701605443449652;0.48560019103811114
0.18;0.85;0.3965052830981749;0.7007721101163187;0.4924334044630878
0.19;0.85;0.40381092743981467;0.6920948614390701;0.49575211827419
0.2;0.85;0.41008419956845776;0.6817411727301184;0.4978990419206603
0.21;0.85;0.41774441369061527;0.6612095438412913;0.4965122054141247
0.22;0.85;0.42916531154800747;0.6599513739066508;0.5046003692620975
0.23;0.85;0.43619698522577177;0.6472040542185414;0.5058651012681205
0.24;0.85;0.4426960697750411;0.6306086776309047;0.5059671254847795
0.25;0.85;0.4455546240863468;0.614249465019757;0.5019729197536992
0.26;0.85;0.4575936243977849;0.6036026135911718;0.505738356446222
0.27;0.85;0.4725517710977781;0.5948586886707764;0.5106346897839484
0.28;0.85;0.4930733998132472;0.5901994444062689;0.5200693351434672
0.29;0.85;0.5040135324651189;0.5709664186849877;0.5191456582537693
0.3;0.85;0.50776014091692;0.5521660925491354;0.5121385168925622
0.31;0.85;0.5175211517836925;0.5274656884640564;0.5040603420774672
0.32;0.85;0.5376089847320833;0.5187857974486391;0.5083735452457051
0.33;0.85;0.5550484170872177;0.5035539939351017;0.5088722664220454
0.34;0.85;0.5614468232289439;0.493661649437494;0.5061971465417247
0.35;0.85;0.6048739775297018;0.4847997866625878;0.5137058994794964
0.36;0.85;0.6313047968823479;0.47190756610564105;0.5140497566129456
0.37;0.85;0.6564624075540725;0.4637376984775691;0.5145490824537149
0.38;0.85;0.681777381903156;0.454110221433044;0.5138093892479988
0.39;0.85;0.7173805872490086;0.43759810781566727;0.5117738232145059
0.4;0.85;NaN;0.42585523083453486;NaN
0.41;0.85;NaN;0.38736423500944306;NaN
0.42;0.85;NaN;0.37129539987714044;NaN
0.43;0.85;NaN;0.36685888855763676;NaN
0.44;0.85;NaN;0.35651631718565363;NaN
0.45;0.85;NaN;0.3481268144131585;NaN
0.46;0.85;NaN;0.33264532954868126;NaN
0.47;0.85;NaN;0.3198484685436159;NaN
0.48;0.85;NaN;0.3064018620455389;NaN
0.49;0.85;NaN;0.2942665838247343;NaN
0.5;0.85;NaN;0.2855099700681205;NaN
0.51;0.85;NaN;0.2776119421700926;NaN
0.52;0.85;NaN;0.27441749772564816;NaN
0.53;0.85;NaN;0.26742919363208095;NaN
0.54;0.85;NaN;0.26631808252096983;NaN
0.55;0.85;NaN;0.2656236380765254;NaN
0.56;0.85;NaN;0.2526715292691534;NaN
0.57;0.85;NaN;0.24789410761673183;NaN
0.58;0.85;NaN;0.24105237092205395;NaN
0.59;0.85;NaN;0.23250709675177975;NaN
0.6;0.85;NaN;0.22817177929146226;NaN
0.61;0.85;NaN;0.22538826822621746;NaN
0.62;0.85;NaN;0.21621877350525215;NaN
0.63;0.85;NaN;0.20833998562646422;NaN
0.64;0.85;NaN;0.20264554118201977;NaN
0.65;0.85;NaN;0.19471409082409882;NaN
0.66;0.85;NaN;0.19373369866723608;NaN
0.67;0.85;NaN;0.18506787375141118;NaN
0.68;0.85;NaN;0.17614199286900858;NaN
0.69;0.85;NaN;0.1664892150912308;NaN
0.7;0.85;NaN;0.1558305450575608;NaN
0.71;0.85;NaN;0.14619573542275116;NaN
0.72;0.85;NaN;0.13976662531717046;NaN
0.73;0.85;NaN;0.13696569939124453;NaN
0.74;0.85;NaN;0.1316085565341017;NaN
0.75;0.85;NaN;0.12917800097854612;NaN
0.76;0.85;NaN;0.12164119398521739;NaN
0.77;0.85;NaN;0.11534312558188584;NaN
0.78;0.85;NaN;0.11087270493499463;NaN
0.79;0.85;NaN;0.1065030468153365;NaN
0.8;0.85;NaN;0.09467350505133182;NaN
0.81;0.85;NaN;0.08520545847802209;NaN
0.82;0.85;NaN;0.07664969406699451;NaN
0.83;0.85;NaN;0.07201345068075113;NaN
0.84;0.85;NaN;0.06778996583226628;NaN
0.85;0.85;NaN;0.06070001874231919;NaN
0.86;0.85;NaN;0.04696474938204982;NaN
0.87;0.85;NaN;0.0302640914154072;NaN
0.88;0.85;NaN;0.025960972507025136;NaN
0.89;0.85;NaN;0.021099861395914025;NaN
0.9;0.85;NaN;0.016770857066909697;NaN
0.91;0.85;NaN;0.016770857066909697;NaN
0.92;0.85;NaN;0.011429378370167846;NaN
0.93;0.85;NaN;0.006054197994987468;NaN
0.94;0.85;NaN;0.0;NaN
0.95;0.85;NaN;0.0;NaN
0.96;0.85;NaN;0.0;NaN
0.97;0.85;NaN;0.0;NaN
0.98;0.85;NaN;0.0;NaN
0.99;0.85;NaN;0.0;NaN
1.0;0.85;NaN;0.0;NaN
