TopicWeight;CorefThreshold;Precision;Recall;Fmeasure
0.0;0.85;0.26879665839815825;0.7729128282023187;0.3918132996178641
0.01;0.85;0.30481185439842673;0.7729128282023187;0.4292281660545613
0.02;0.85;0.3723218833831718;0.7772980178177712;0.4946489666042913
0.03;0.85;0.4002162455614537;0.7748569403766938;0.5190157490557
0.04;0.85;0.43568643850755656;0.7740404420601956;0.5485688770319915
0.05;0.85;0.46800912087673285;0.77584957347459;0.5755510734950555
0.06;0.85;0.490545996236679;0.7734253310503477;0.5921280516227901
0.07;0.85;0.5093096381274761;0.7725481380678916;0.6056349699073
0.08;0.85;0.537611360905348;0.77738399665375;0.6280823725959837
0.09;0.85;0.5591991006372862;0.7797577340274875;0.6437376000514725
0.1;0.85;0.5924550582560303;0.7797577340274875;0.6659101351641931
0.11;0.85;0.6096198588666526;0.767131471401225;0.6725656647525086
0.12;0.85;0.6451258570477845;0.767131471401225;0.6941389412241833
0.13;0.85;0.6637058446712;0.7641902949306367;0.7040995193251354
0.14;0.85;0.6947897581448095;0.761597702338044;0.720023906331291
0.15;0.85;0.7258593549208248;0.761597702338044;0.7373294671051999
0.16;0.85;0.7329093225687026;0.7586209731848444;0.7393518315052492
0.17;0.85;0.7354222770938521;0.7398031149165216;0.7307456548811613
0.18;0.85;0.7375482317761101;0.7307497523434222;0.7269843135986575
0.19;0.85;0.7451054451533363;0.7241071040560371;0.7273288467959691
0.2;0.85;0.749148048859491;0.7095459488618896;0.7209014744858914
0.21;0.85;0.750093235495628;0.6967779692924395;0.7146495007303673
0.22;0.85;0.7520963975478097;0.6878272672167376;0.7106820344348821
0.23;0.85;0.7514087731714597;0.6749024306154304;0.7032567826973521
0.24;0.85;0.7567738709182711;0.6711987269117266;0.7040155341131498
0.25;0.85;0.7573620066151023;0.660317394073872;0.6980172541445121
0.26;0.85;0.7621672747187452;0.6567076023310879;0.6979246455607416
0.27;0.85;0.7578157932968301;0.6379283988634172;0.6835829999651749
0.28;0.85;0.7626196408180692;0.625655101984857;0.6772144197277139
0.29;0.85;0.7682650220069286;0.6161197779177993;0.6727329658967977
0.3;0.85;0.7800457310639534;0.6052204165579115;0.6679148263204785
0.31;0.85;0.7781496839217427;0.5866807951312932;0.654780867306031
0.32;0.85;0.7870288280833947;0.5761485527990104;0.6503069179061561
0.33;0.85;0.795866890537186;0.566965715655647;0.6466351407842704
0.34;0.85;0.8029230805345525;0.5649590266924365;0.6470944006670507
0.35;0.85;0.8099537350652068;0.5619903304420064;0.6477603301251567
0.36;0.85;0.8243930634383588;0.5529035626881906;0.644576079750885
0.37;0.85;0.826251555823167;0.5488914490708138;0.6424230444924416
0.38;0.85;0.8276627294274354;0.5447206052947069;0.640011495019174
0.39;0.85;0.8361773398170459;0.5380100789789174;0.6384556189467326
0.4;0.85;0.8366680296827357;0.524500158125478;0.6261486251781717
0.41;0.85;0.8510972088913267;0.4767709933485947;0.5843191815789285
0.42;0.85;0.8515477768418944;0.46892443566651065;0.5784649271410243
0.43;0.85;0.852729234273352;0.4617558196821052;0.5714641319635453
0.44;0.85;0.8591974882416059;0.4532838766784284;0.5645605979905006
0.45;0.85;0.8658280336221512;0.4438272324597873;0.5572232662302842
0.46;0.85;0.8615805681246856;0.4332523378231078;0.5474473426573383
0.47;0.85;0.8576724392165568;0.4211041010696079;0.5355084934220584
0.48;0.85;0.8588232328673506;0.4174929899584968;0.5324241084345354
0.49;0.85;0.8644523532023531;0.40570420200266083;0.5217476256352942
0.5;0.85;0.8747577885077884;0.3994229686161643;0.5166977611144151
0.51;0.85;0.8700429200429199;0.38854577563370807;0.5062238139862402
0.52;0.85;0.8616657270604637;0.3790005686620306;0.4955638183764281
0.53;0.85;0.8608459912407279;0.3701435776997764;0.48565550133504665
0.54;0.85;0.8608459912407279;0.3701435776997764;0.48565550133504665
0.55;0.85;0.859806290201027;0.36759554094121333;0.4833199633098534
0.56;0.85;NaN;0.35641708976276215;NaN
0.57;0.85;NaN;0.3491196898086283;NaN
0.58;0.85;NaN;0.34088906422506154;NaN
0.59;0.85;NaN;0.3307702111282673;NaN
0.6;0.85;NaN;0.32380893166698793;NaN
0.61;0.85;NaN;0.32136010125763115;NaN
0.62;0.85;NaN;0.3121354071064664;NaN
0.63;0.85;NaN;0.30049399296505225;NaN
0.64;0.85;NaN;0.29160576861630166;NaN
0.65;0.85;NaN;0.28534915485968787;NaN
0.66;0.85;NaN;0.2798420954379024;NaN
0.67;0.85;NaN;0.2617030293383099;NaN
0.68;0.85;NaN;0.25318200675550245;NaN
0.69;0.85;NaN;0.2435292289777246;NaN
0.7;0.85;NaN;0.2309642408612659;NaN
0.71;0.85;NaN;0.22041510217745233;NaN
0.72;0.85;NaN;0.211248198701086;NaN
0.73;0.85;NaN;0.1962456099405049;NaN
0.74;0.85;NaN;0.19346783216272712;NaN
0.75;0.85;NaN;0.18311419070614446;NaN
0.76;0.85;NaN;0.172799605935038;NaN
0.77;0.85;NaN;0.1628447099681451;NaN
0.78;0.85;NaN;0.1593002152471798;NaN
0.79;0.85;NaN;0.15319258921308318;NaN
0.8;0.85;NaN;0.13746957980561086;NaN
0.81;0.85;NaN;0.12618780774210506;NaN
0.82;0.85;NaN;0.11396903966807384;NaN
0.83;0.85;NaN;0.10933279628183046;NaN
0.84;0.85;NaN;0.09871233730610833;NaN
0.85;0.85;NaN;0.08967794577171678;NaN
0.86;0.85;NaN;0.07356473028350133;NaN
0.87;0.85;NaN;0.05338132820911458;NaN
0.88;0.85;NaN;0.04384672781925105;NaN
0.89;0.85;NaN;0.03463376485628808;NaN
0.9;0.85;NaN;0.029193649416172637;NaN
0.91;0.85;NaN;0.02392909915162237;NaN
0.92;0.85;NaN;0.017198731565991627;NaN
0.93;0.85;NaN;0.010843159033948505;NaN
0.94;0.85;NaN;0.005666154021417179;NaN
0.95;0.85;NaN;0.004624487354750513;NaN
0.96;0.85;NaN;0.0034340111642743223;NaN
0.97;0.85;NaN;0.002556818181818182;NaN
0.98;0.85;NaN;0.002556818181818182;NaN
0.99;0.85;NaN;0.002556818181818182;NaN
1.0;0.85;NaN;0.0;NaN
