@relation LinkDisambiguator

@attribute commonness numeric
@attribute relatedness numeric
@attribute contextQuality numeric
@attribute isCorrectSense {TRUE,FALSE}

@data
0.678571,0.518909,11.973434,TRUE
0.214286,0,11.973434,FALSE
0.035714,0,11.973434,FALSE
0.55102,0.550648,11.973434,TRUE
0.108844,0,11.973434,FALSE
0.102041,0.605558,11.973434,FALSE
0.054422,0,11.973434,FALSE
0.047619,0.062392,11.973434,FALSE
0.013605,0.315441,11.973434,FALSE
0.013605,0,11.973434,FALSE
0.013605,0,11.973434,FALSE
0.013605,0,11.973434,FALSE
0.013605,0.02135,11.973434,FALSE
0.319588,0.578052,11.973434,TRUE
0.293814,0.62099,11.973434,FALSE
0.180412,0.071265,11.973434,FALSE
0.051546,0,11.973434,FALSE
0.036082,0.66587,11.973434,FALSE
0.015464,0,11.973434,FALSE
0.015464,0,11.973434,FALSE
0.015464,0,11.973434,FALSE
0.818182,0.617831,11.973434,TRUE
0.181818,0,11.973434,FALSE
0.980769,0.523403,11.973434,TRUE
0.019231,0,11.973434,FALSE
0.970118,0.545747,11.973434,TRUE
0.016678,0,11.973434,FALSE
0.636364,0.613614,11.973434,TRUE
0.30303,0,11.973434,FALSE
0.030303,0,11.973434,FALSE
0.030303,0.207548,11.973434,FALSE
0.969697,0.71741,11.973434,TRUE
0.030303,0.18965,11.973434,FALSE
0.967742,0.658665,11.973434,TRUE
0.032258,0.52623,11.973434,FALSE
0.897436,0,11.973434,FALSE
0.025641,0.378078,11.973434,FALSE
0.025641,0.571323,11.973434,TRUE
0.025641,0.022745,11.973434,FALSE
0.025641,0,11.973434,FALSE
0.877698,0.457483,11.973434,FALSE
0.043165,0.454018,11.973434,FALSE
0.943259,0.307632,11.973434,TRUE
0.025874,0,11.973434,FALSE
0.014072,0.04206,11.973434,FALSE
0.951452,0.455047,11.973434,TRUE
0.020345,0.405438,11.973434,FALSE
0.963855,0.618926,11.973434,TRUE
0.036145,0.387415,11.973434,FALSE
0.521739,0.595099,11.973434,TRUE
0.26087,0.092097,11.973434,FALSE
0.086957,0,11.973434,FALSE
0.043478,0.368749,11.973434,FALSE
0.971429,0.700827,11.973434,TRUE
0.028571,0.253269,11.973434,FALSE
0.830769,0.545965,11.973434,TRUE
0.169231,0,11.973434,FALSE
0.91791,0.528483,11.973434,TRUE
0.014925,0.240583,11.973434,FALSE
0.014925,0.43149,11.973434,FALSE
0.92378,0.297066,11.973434,FALSE
0.02439,0.051617,11.973434,FALSE
0.971178,0.475872,11.973434,TRUE
0.027569,0.385631,11.973434,FALSE
0.75,0.62099,11.973434,TRUE
0.25,0.66587,11.973434,FALSE
0.954545,0.68065,11.973434,TRUE
0.045455,0,11.973434,FALSE
0.818068,0.492133,11.973434,TRUE
0.089711,0.069531,11.973434,FALSE
0.06399,0.101226,11.973434,FALSE
0.018507,0.031917,11.973434,FALSE
0.977654,0.377187,11.60535,TRUE
0.019553,0,11.60535,FALSE
0.975089,0.523629,11.60535,TRUE
0.010676,0.014456,11.60535,FALSE
0.896552,0.701029,11.60535,TRUE
0.086207,0.500048,11.60535,FALSE
0.017241,0.122557,11.60535,FALSE
0.984127,0.840141,11.60535,TRUE
0.984127,0.840141,11.60535,TRUE
0.986486,0.815576,11.60535,TRUE
0.013514,0.813845,11.60535,FALSE
0.987342,0.81606,11.60535,TRUE
0.012658,0.628666,11.60535,FALSE
0.984252,0.81697,11.60535,TRUE
0.370787,0.607965,11.60535,FALSE
0.348315,0.780801,11.60535,TRUE
0.269663,0.698244,11.60535,FALSE
0.011236,0.763511,11.60535,FALSE
0.984127,0.840141,11.60535,TRUE
0.984375,0.830426,11.60535,TRUE
0.015625,0,11.60535,FALSE
0.984127,0.840141,11.60535,TRUE
0.984252,0.81697,11.60535,TRUE
0.968468,0.677073,11.60535,TRUE
0.022523,0.099547,11.60535,FALSE
0.779044,0.484219,10.86576,TRUE
0.125735,0.479494,10.86576,FALSE
0.043382,0.452101,10.86576,FALSE
0.012868,0.459604,10.86576,FALSE
0.779044,0.484219,10.86576,TRUE
0.125735,0.479494,10.86576,FALSE
0.043382,0.452101,10.86576,FALSE
0.012868,0.459604,10.86576,FALSE
0.501896,0.421771,10.86576,TRUE
0.427307,0.230321,10.86576,FALSE
0.040455,0.274767,10.86576,FALSE
0.010114,0.243729,10.86576,FALSE
0.962331,0.558333,10.86576,TRUE
0.027663,0.554814,10.86576,FALSE
0.962331,0.558333,10.86576,TRUE
0.027663,0.554814,10.86576,FALSE
0.787879,0.565849,10.86576,TRUE
0.212121,0.2489,10.86576,FALSE
0.958042,0.52842,10.86576,TRUE
0.020105,0.516942,10.86576,FALSE
0.013986,0.541797,10.86576,FALSE
0.92944,0.537409,10.86576,TRUE
0.032847,0.270705,10.86576,FALSE
0.017032,0.252421,10.86576,FALSE
0.958333,0.628853,10.86576,TRUE
0.041667,0,10.86576,FALSE
0.965969,0.600117,10.86576,TRUE
0.965969,0.600117,10.86576,TRUE
0.906948,0.482677,10.86576,TRUE
0.048801,0.452129,10.86576,FALSE
0.023573,0.168816,10.86576,FALSE
0.903614,0.665434,10.86576,TRUE
0.096386,0.607632,10.86576,FALSE
0.674419,0.640965,10.86576,TRUE
0.325581,0.65103,10.86576,FALSE
0.933333,0.614845,10.86576,TRUE
0.066667,0.611198,10.86576,FALSE
0.958042,0.52842,10.86576,TRUE
0.020105,0.516942,10.86576,FALSE
0.013986,0.541797,10.86576,FALSE
0.92944,0.537409,10.86576,TRUE
0.032847,0.270705,10.86576,FALSE
0.017032,0.252421,10.86576,FALSE
0.787879,0.565849,10.86576,TRUE
0.212121,0.2489,10.86576,FALSE
0.984536,0.674214,14.201973,TRUE
0.015464,0.549481,14.201973,FALSE
0.787037,0.652166,14.201973,FALSE
0.185185,0.688947,14.201973,TRUE
0.018519,0.022748,14.201973,FALSE
0.978648,0.629092,14.201973,TRUE
0.010676,0.656671,14.201973,FALSE
0.980392,0.73091,14.201973,TRUE
0.019608,0.668052,14.201973,FALSE
0.975,0.679923,14.201973,TRUE
0.025,0.028443,14.201973,FALSE
