mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Opick: Uje Tinggalkan)-(Pesan)]";false;false;false;false;false;true;false;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(Dai Muda)]";false;false;false;false;false;true;false;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(Dai muda)]";false;false;false;false;false;true;false;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(ispiratif)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(sepeninggal almarhum Ustadz Jeffry Al Buchori)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(Uje)]";false;false;false;false;false;true;true;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(pesan Uje)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(sahabat karib)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(baik)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(sesama ustadz)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(teman sepergaulan)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(Penyayi Religi)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(Aunur Rofiq Lil Firdaus)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(Opick)]";false;false;false;false;false;false;true;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(Uje)]";false;false;false;false;false;false;true;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(pesan jelas)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(dakwah itu)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(Ulama)]";false;false;false;false;false;false;false;PERSON;ORGANIZATION
"[(Opick: Uje Tinggalkan)-(orang tua)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-("Satu hal)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(pesan Uje,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(dakwah itu)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(kaku,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Opick: Uje Tinggalkan)-(Opick)]";false;false;false;false;false;false;true;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(Republika)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Opick: Uje Tinggalkan)-(dia,)]";false;false;false;false;true;false;false;PERSON;OTHER
