mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Pelajar Jawa Timur Ikrar Anti)-(Narkoba)]";false;true;false;false;false;true;false;LOCATION;PERSON
"[(Pelajar Jawa Timur Ikrar Anti)-(pelajar setingkat SMP dan SMA se-Jawa Timur)]";false;true;false;false;false;true;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(narkoba)]";false;true;false;false;false;true;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Kamis pagi,)]";false;false;false;false;false;true;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(23 Mei 2013)]";false;true;false;false;false;true;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(pelajar)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(barang laknat itu)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(hadapan Kepala Badan Narkotika Nasional)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Komisaris Jendral Anang Iskandar dan Wakil Gubernur Saifullah Yusuf)]";false;true;false;false;false;false;false;LOCATION;PERSON
"[(Pelajar Jawa Timur Ikrar Anti)-(pelajar)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(kegiatan ini)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Sebelum acara deklarasi)]";false;true;false;false;false;false;false;LOCATION;PERSON
"[(Pelajar Jawa Timur Ikrar Anti)-(sejumlah pelajar)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(aksi teatrikal)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Mereka)]";false;true;false;false;true;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(potongan kertas)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(jenis narkotika dan obat-obatan)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Kertas itu)]";false;true;false;false;false;false;false;LOCATION;PERSON
"[(Pelajar Jawa Timur Ikrar Anti)-(panggung)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(pelajar)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(perisai)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(persen 'drugsfree' dan sapu)]";false;false;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Mereka)]";false;true;false;false;true;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(pengedar narkoba)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-('narkoba')]";false;false;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Prosesi)]";false;true;false;false;false;false;false;LOCATION;PERSON
"[(Pelajar Jawa Timur Ikrar Anti)-(teatrikal ini)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(pembacaan Deklarasi Anti)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(Narkoba)]";false;true;false;false;false;false;false;LOCATION;PERSON
"[(Pelajar Jawa Timur Ikrar Anti)-(orang pelajar putra dan putri)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(mereka)]";false;true;false;false;true;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(pelajar)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(siswa)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(narkoba)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(pembacaan deklarasi,)]";false;false;false;false;false;false;false;LOCATION;OTHER
"[(Pelajar Jawa Timur Ikrar Anti)-(siswa dan siswi)]";false;true;false;false;false;false;false;LOCATION;OTHER
