mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Presiden Israel)-(Mengajak Damai)]";false;true;false;false;false;true;false;OTHER;PERSON
"[(Presiden Israel)-(Palestina)]";false;true;false;false;false;true;false;OTHER;PERSON
"[(Presiden Israel)-(Negosiasi damai)]";false;true;false;false;false;true;false;OTHER;PERSON
"[(Presiden Israel)-(Israel-Palestina)]";false;true;false;false;false;true;false;OTHER;LOCATION
"[(Presiden Israel)-(kebuntuan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(kali ini)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(pihak Israel)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(negosiasi damai)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(pemerintah Palestina)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(Presiden Israel,)]";false;false;false;false;false;false;true;OTHER;OTHER
"[(Presiden Israel)-(Shimon)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(Presiden Israel)-(Peres)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(Presiden Israel)-(saat)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(proses negosiasi)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(Dia)]";false;true;false;false;true;false;false;OTHER;OTHER
"[(Presiden Israel)-(belah pihak)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(mereka)]";false;true;false;false;true;false;false;OTHER;OTHER
"[(Presiden Israel)-(saya,)]";false;false;false;false;true;false;false;OTHER;OTHER
"[(Presiden Israel)-(proses negosiasi)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(Peres)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(Presiden Israel)-(acara World Economic Forum)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(Presiden Israel)-(Yordania)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(Presiden Israel)-(Associated Press)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(Presiden Israel)-(Ahad)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(Presiden Israel)-(Peres)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
