mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Daihatsu Bantu Peralatan)-(15 SMK)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Jawa Tengah Sebanyak)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Daihatsu Bantu Peralatan)-(15 sekolah)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(kejuruan)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(SMK)]";false;true;false;false;false;true;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(Jawa Tengah)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Daihatsu Bantu Peralatan)-(bantuan peralatan,)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(mesin dan buku panduan praktik)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(PT Astra Daihatsu Motor)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Daihatsu Bantu Peralatan)-(ADM)]";false;true;false;false;false;true;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-("Kami)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(SMK)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(anak)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(industri lewat program 'Pintar)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Daihatsu')]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(Head Human)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(Resources)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(Division PT ADM Joko Baroto)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(Semarang)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Daihatsu Bantu Peralatan)-(Kamis)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Hal itu)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(penyerahan bantuan peralatan praktik)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(perwakilan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(15 SMK binaan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Jateng,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Daihatsu Bantu Peralatan)-(Hari Pendidikan Nasional)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-((Hardiknas)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(tanggal)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(2 Mei)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Bantuan itu,)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(mesin)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(SMK binaan masing-masing)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(satu unit,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(SMK Panca Bhakti Banjarnegara)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(SMK Pancasila Surakarta)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(dan SMK Muhammadiyah)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(2 Semarang)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(12 SMK)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(lainnya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(set buku panduan praktik "Daihatsu Technician" dan "D-STEP)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Basic Service)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(Technique Jilid 1-4")]";false;false;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(buku manual)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(panduan siswa SMK jurusan automotif)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Buku panduan)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(set itu)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(SMK Negeri 2)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(Salatiga)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(SMK Bina Tunas Bhakti Juwono)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(SMK Muhammadiyah)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(Blora)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(SMK Bina Islam Mandiri Brebes)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(dan SMK PGRI)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(1 Taman Pemalang)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(soal CSR)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(kami)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(guru)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(pendidik siswa)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(materi budaya industri,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(Dinas Pendidikan)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(Budaya industri,)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Daihatsu Bantu Peralatan)-(Joko,)]";false;false;false;false;false;false;false;PERSON;ORGANIZATION
"[(Daihatsu Bantu Peralatan)-(siswa)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(kelak)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(dunia industri,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(aspek "softskill",)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(samping "hardskill")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(teori)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Daihatsu Bantu Peralatan)-(sekolah)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(15 SMK)-(Jawa Tengah Sebanyak)]";false;true;false;false;false;true;false;OTHER;LOCATION
"[(15 SMK)-(15 sekolah)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(15 SMK)-(kejuruan)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(15 SMK)-(SMK)]";false;true;false;false;false;true;true;OTHER;ORGANIZATION
"[(15 SMK)-(Jawa Tengah)]";false;true;false;false;false;true;false;OTHER;LOCATION
"[(15 SMK)-(bantuan peralatan,)]";false;false;false;false;false;true;false;OTHER;OTHER
"[(15 SMK)-(mesin dan buku panduan praktik)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(15 SMK)-(PT Astra Daihatsu Motor)]";false;true;false;false;false;true;false;OTHER;LOCATION
"[(15 SMK)-(ADM)]";false;true;false;false;false;true;false;OTHER;ORGANIZATION
"[(15 SMK)-("Kami)]";false;false;false;false;true;false;false;OTHER;OTHER
"[(15 SMK)-(SMK)]";false;true;false;false;false;false;true;OTHER;ORGANIZATION
"[(15 SMK)-(anak)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(industri lewat program 'Pintar)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(Daihatsu')]";false;false;false;false;false;false;false;OTHER;PERSON
"[(15 SMK)-(Head Human)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(15 SMK)-(Resources)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(15 SMK)-(Division PT ADM Joko Baroto)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(15 SMK)-(Semarang)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(15 SMK)-(Kamis)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(Hal itu)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(15 SMK)-(penyerahan bantuan peralatan praktik)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(perwakilan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(15 SMK binaan)]";false;true;false;false;false;false;true;OTHER;OTHER
"[(15 SMK)-(Jateng,)]";false;false;false;false;false;false;false;OTHER;LOCATION
"[(15 SMK)-(Hari Pendidikan Nasional)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(15 SMK)-((Hardiknas)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(tanggal)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(2 Mei)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(Bantuan itu,)]";false;false;false;false;false;false;false;OTHER;PERSON
"[(15 SMK)-(mesin)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(SMK binaan masing-masing)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(15 SMK)-(satu unit,)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(SMK Panca Bhakti Banjarnegara)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(15 SMK)-(SMK Pancasila Surakarta)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(15 SMK)-(dan SMK Muhammadiyah)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(2 Semarang)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(12 SMK)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(lainnya)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(set buku panduan praktik "Daihatsu Technician" dan "D-STEP)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(Basic Service)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(15 SMK)-(Technique Jilid 1-4")]";false;false;false;false;false;false;false;OTHER;ORGANIZATION
"[(15 SMK)-(buku manual)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(panduan siswa SMK jurusan automotif)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(15 SMK)-(Buku panduan)]";false;true;false;false;false;false;false;OTHER;PERSON
