mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Ahok: Khotbah)-(Uje Keren Wakil Gubernur DKI Jakarta)]";false;false;false;false;false;true;false;PERSON;PERSON
"[(Ahok: Khotbah)-(Basuki Tjahaja Purnama tunjukkan rasa duka)]";false;false;false;false;false;true;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(meninggalnya salah)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok: Khotbah)-(pemuda luar)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Indonesia Jefry Al Buchori)]";false;false;false;false;false;true;false;PERSON;LOCATION
"[(Ahok: Khotbah)-("Saya)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(sungkawa,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Basuki)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(kantornya,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Jumat)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(26 April 2013)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Basuki)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(Uje)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok: Khotbah)-(panggilan akrab)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Jefry Al Buchori,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(sosok ustad)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Ia)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(ia)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Uje)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok: Khotbah)-(panggilan akrab)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Jefry Al Buchori,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(Belitung)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(Basuki)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(khotbah-khotbah Uje)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok: Khotbah)-("Saya)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(banget khotbahnya,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(lah")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Basuki)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(Uje)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok: Khotbah)-(motor Ahok)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Basuki)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(tiga orang)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(akibat)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Sebelumnya)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Ustad)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok: Khotbah)-(gayanya)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(dunia karena kecelakaan)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Pondok Indah)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(Jakarta Selatan,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok: Khotbah)-(Jumat)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(26 April 2013)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Saksi)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok: Khotbah)-(kejadian)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok: Khotbah)-(Uje)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok: Khotbah)-(pohon)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Basuki Tjahaja Purnama tunjukkan rasa duka)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(meninggalnya salah)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(pemuda luar)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Indonesia Jefry Al Buchori)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-("Saya)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(sungkawa,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Basuki)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(kantornya,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Jumat)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(26 April 2013)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Basuki)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Uje)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(panggilan akrab)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Jefry Al Buchori,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(sosok ustad)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Ia)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(ia)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Uje)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(panggilan akrab)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Jefry Al Buchori,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Belitung)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Basuki)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(khotbah-khotbah Uje)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Uje Keren Wakil Gubernur DKI Jakarta)-("Saya)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(banget khotbahnya,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(lah")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Basuki)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Uje)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(motor Ahok)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Basuki)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(tiga orang)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(akibat)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Sebelumnya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Ustad)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(gayanya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(dunia karena kecelakaan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Pondok Indah)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Jakarta Selatan,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Jumat)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(26 April 2013)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Saksi)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(kejadian)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(Uje)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Uje Keren Wakil Gubernur DKI Jakarta)-(pohon)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(meninggalnya salah)]";false;true;false;false;false;true;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(pemuda luar)]";false;true;false;false;false;true;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(Indonesia Jefry Al Buchori)]";false;true;false;false;false;true;false;LOCATION;LOCATION
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-("Saya)]";false;false;false;false;true;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(sungkawa,")]";false;false;false;false;false;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(Basuki)]";false;true;false;false;false;false;true;LOCATION;LOCATION
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(kantornya,)]";false;false;false;false;false;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(Jumat)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(26 April 2013)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(Basuki)]";false;true;false;false;false;false;true;LOCATION;LOCATION
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(Uje)]";false;true;false;false;false;false;false;LOCATION;PERSON
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(panggilan akrab)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(Jefry Al Buchori,)]";false;false;false;false;false;false;false;LOCATION;LOCATION
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(sosok ustad)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(Ia)]";false;true;false;false;true;false;false;LOCATION;OTHER
"[(Basuki Tjahaja Purnama tunjukkan rasa duka)-(ia)]";false;true;false;false;true;false;false;LOCATION;OTHER
