mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Jokowi)-(cawapres Ical Gubernur DKI Jakarta)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Jokowi)-(Joko Widodo)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Jokowi)-(Jokowi)]";true;true;false;false;false;true;true;PERSON;PERSON
"[(Jokowi)-(pasangan)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Jokowi)-(Aburizal Bakrie atau Ical)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Jokowi)-(calon wakil presiden,)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Jokowi)-(Wakil Bendahara)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Jokowi)-(Partai Golkar)]";false;true;false;false;false;true;false;PERSON;ORGANIZATION
"[(Jokowi)-(Bambang Soesatyo)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Jokowi)-("Pak Ical)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Jokowi)-(pendamping)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Jokowi)-(elektabilitasnya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Jokowi)-(Pemilu Presiden 2014)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Jokowi)-(Orang)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Jokowi)-(Jokowi,")]";false;false;false;false;false;false;true;PERSON;OTHER
"[(Jokowi)-(Bambang)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Jokowi)-(Gedung)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Jokowi)-(RI Jakarta)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Jokowi)-(Senin)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Jokowi)-(Ia)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Jokowi)-(Ical dan Jokowi)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Jokowi)-(pasangan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Jokowi)-(keadaan negeri ini)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Jokowi)-(tipikal)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Jokowi)-(tipikal pekerja)]";false;true;false;false;false;false;false;PERSON;OTHER
