mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Hatta siap)-(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Hatta siap)-(Menko Perekonomian)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Hatta siap)-(kesiapannya)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Hatta siap)-(tugas)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Hatta siap)-(Pelaksana Tugas)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Hatta siap)-(Plt)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Hatta siap)-(Menteri Keuangan)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Hatta siap)-(Menkeu)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Hatta siap)-(Hatta Rajasa)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(hal itu)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(keterangan pers)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(sela-sela kunjungan kerjanya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Bali)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Hatta siap)-(Jumat)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Hatta)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Hatta siap)-(Presiden Yudhoyono)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(kepadanya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(tugas sementara)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Plt Menkeu)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(mantan Menkeu Agus Martowardojo)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(tugas baru)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Gubernur BI)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-("Tugas utama)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(saya)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Hatta siap)-(seluruh anggaran)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Rencana Kerja Pemerintah)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Hatta siap)-(rencana)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(tiada hambatan,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(hambatan lainnya,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Hatta Rajasa seusai)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(Rapat Koordinasi Masterplan Percepatan dan Perluasan Pembangunan Ekonomi Indonesia)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(MP3EI)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Hatta siap)-(Jawa)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Hatta siap)-(Nusa)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Hatta siap)-(Convention Center)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Hatta siap)-(Bali)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Hatta siap)-(Hatta)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Hatta siap)-(tugas Plt Menkeu ini)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(sifatnya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(terpilihnya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Menkeu)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(tugas baru)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(tugas-tugas rutin)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Kementerian Koordinator Perekonomian)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Hatta siap)-(sifatnya sementara)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(saya)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Hatta siap)-(Plt,)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(Plt Menteri BUMN,")]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(Rakor MP3EI)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(koridor Jawa dan Bali kali)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Hatta,)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(program-program)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(hambatan-hambatan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(solusinya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(Rakor kali ini)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Hatta siap)-(target-target)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(sebelumnya,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(konsep MP3EI sendiri,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(konsep strategi)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(percepatan pembangunan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(wilayah atau koridor)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-("MP3EI ini)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(APBN,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Hatta siap)-(bobotnya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(8 persen)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Hatta siap)-(kita)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Hatta siap)-(upayakan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Menko Perekonomian)]";false;true;false;false;false;true;false;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(kesiapannya)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(tugas)]";false;true;false;false;false;true;true;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Pelaksana Tugas)]";false;true;false;false;false;true;false;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Plt)]";false;true;false;false;false;true;true;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Menteri Keuangan)]";false;true;false;false;false;true;false;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Menkeu)]";false;true;false;false;false;true;true;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Hatta Rajasa)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(hal itu)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(keterangan pers)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(sela-sela kunjungan kerjanya)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Bali)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Jumat)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Hatta)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Presiden Yudhoyono)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(kepadanya)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(tugas sementara)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Plt Menkeu)]";false;true;false;false;false;false;true;OTHER;PERSON
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(mantan Menkeu Agus Martowardojo)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(tugas baru)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Gubernur BI)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-("Tugas utama)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(saya)]";false;true;false;false;true;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(seluruh anggaran)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Rencana Kerja Pemerintah)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(rencana)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(tiada hambatan,)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(hambatan lainnya,")]";false;false;false;false;false;false;false;OTHER;OTHER
"[(jalankan tugas Plt Menkeu Menteri Koordinator Bidang Perekonomian)-(Hatta Rajasa seusai)]";false;true;false;false;false;false;false;OTHER;PERSON
