mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Korut pindahkan)-(dua peluncur rudal)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Korut pindahkan)-(pantai timur Korea)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Korut pindahkan)-(Utara)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Korut pindahkan)-(dua peluncur rudal)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Korut pindahkan)-(pantai timurnya)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Korut pindahkan)-(tempat persiapan)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Korut pindahkan)-(satu uji coba rudal saat ketegangan)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Korut pindahkan)-(Semenanjung Korea,)]";false;false;false;false;false;true;false;PERSON;LOCATION
"[(Korut pindahkan)-(satu laporan)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Korut pindahkan)-(Ahad)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Korut pindahkan)-(Pyongyang)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Korut pindahkan)-(satu uji coba rudal)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(perayaan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(kelahiran)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(pemimpin dan pendiri Korut Kim Il-Sung)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(15 April)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(Militer Korut pekan lalu)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Korut pindahkan)-(dua peluncur)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(rudal-rudal Scud)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(Provinsi Hamgyong Selatan)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Korut pindahkan)-(timur-laut,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(kantor berita Yonhap)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(pernyataan seorang pejabat senior)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(Seoul)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Korut pindahkan)-("Kami)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Korut pindahkan)-(Korut)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Korut pindahkan)-(peluncur rudal)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(TEL)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Korut pindahkan)-(pantai timur)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(April,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(pejabat itu)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Korut pindahkan)-(Seoul dan Washington)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Korut pindahkan)-(lokasi itu)]";false;true;false;false;false;false;false;PERSON;OTHER
