mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Ahok)-(e-KTP Wakil Gubernur DKI Jakarta)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Ahok)-(Basuki Tjahaja Purnama)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Ahok)-(Ahok)]";true;true;false;false;false;true;true;PERSON;PERSON
"[(Ahok)-(penggunaan kartu tanda penduduk elektronik)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Ahok)-(e-KTP)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Ahok)-(saya)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Ahok)-(protes)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(e-KTP,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(Ahok)]";true;true;false;false;false;false;true;PERSON;PERSON
"[(Ahok)-(Balaikota DKI Jakarta)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Ahok)-(Selasa)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(Ia)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Ahok)-(penggunaan kartu Anjungan Tunai Mandiri)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-((ATM)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(Bank Pembangunan Daerah)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Ahok)-(BPD)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Ahok)-(Indonesia,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok)-(tiap)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(satu nomor kartu)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(jenis transaksi)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(transaksi perbankan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(kartu)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(mahasiswa,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(penggunaan KTP)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(ATM,)]";false;false;false;false;false;false;false;PERSON;ORGANIZATION
"[(Ahok)-(Ahok)]";true;true;false;false;false;false;true;PERSON;PERSON
"[(Ahok)-(kemungkinan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(dirusak)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(peraturan bank)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(penggunaan kartu ATM)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(kemungkinan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(adanya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(praktik penggandaan kartu tersebut,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(Jokowi)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Ahok)-(pemegang kartu tersebut)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(Nomor Pemilik Wajib Pajak)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Ahok)-(NPWP)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Ahok)-(bikin dua,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(NPWP)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Ahok)-(Mau bayar pajak)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Ahok)-(dua kali)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(lipat,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(Sebelumnya,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok)-(Menteri)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Ahok)-(Negeri)]";false;true;false;false;false;false;false;PERSON;LOCATION
