mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Ahok:)-(Barca versus Muenchen)]";false;false;false;false;false;true;false;PERSON;PERSON
"[(Ahok:)-(Wakil Gubernur DKI Jakarta Basuki Tjahaja Purnama)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok:)-(Ahok)]";false;false;false;false;false;true;true;PERSON;PERSON
"[(Ahok:)-(klub Barcelona)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok:)-(Bayern Muenchen)]";false;false;false;false;false;true;false;PERSON;PERSON
"[(Ahok:)-(laga leg)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok:)-(semifinal Liga Champions)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok:)-(Kamis)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok:)-(hari)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahok:)-(laga)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok:)-(Stadion Nou Camp,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok:)-(kandang Barcelona)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok:)-(Ahok)]";false;false;false;false;false;false;true;PERSON;PERSON
"[(Ahok:)-(tim Catalan)]";false;false;false;false;false;false;false;PERSON;ORGANIZATION
"[(Ahok:)-(tamunya)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok:)-(skor tipis)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok:)-(Didesak wartawan soal skor pertandingan)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahok:)-(Ahok)]";false;false;false;false;false;false;true;PERSON;PERSON
"[(Ahok:)-("Lu kira gua dukun?)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok:)-(Hahaha..")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok:)-(mobil)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahok:)-(Balai Kota)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahok:)-(Rabu)]";false;false;false;false;false;false;false;PERSON;OTHER
