mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Besok)-(SBY Bertolak)]";false;true;false;false;false;true;false;PERSON;ORGANIZATION
"[(Besok)-(Swedia dan Amerika Serikat Presiden Susilo Bambang Yudhoyono)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Besok)-(kunjungan kerja)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Besok)-(Stockholm)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Besok)-(Swedia,)]";false;false;false;false;false;true;false;PERSON;LOCATION
"[(Besok)-(New York,)]";false;false;false;false;false;true;false;PERSON;ORGANIZATION
"[(Besok)-(Amerika Serikat)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Besok)-(Ia)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Besok)-(delegasi RI)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(negara itu)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(Senin besok,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(27 Mei 2013)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(Staf Khusus)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Besok)-(Presiden Bidang Hubungan Internasional)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(Teuku Faizasyah,)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Besok)-(kunjungan SBY)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(Swedia)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Besok)-(undangan Raja Swedia)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(Carl XVI Gustaf,)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Besok)-(kunjungan balasan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(kedatangan Raja dan Perdana Menteri Swedia)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(Indonesia)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Besok)-("Tentunya kunjungan ini)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Besok)-(kerja sama)]";false;true;false;false;false;false;false;PERSON;OTHER
