mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Wilson koleksi)-(8 gol)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Wilson koleksi)-(Piala)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Wilson koleksi)-(AFC Striker Semen Padang Edward Wilson Junior)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Wilson koleksi)-(gol)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Wilson koleksi)-(pertandingan penyisihan grup E)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Wilson koleksi)-(dirinya)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Wilson koleksi)-(penyerang tersubur)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Wilson koleksi)-(Piala AFC)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Wilson koleksi)-(Edward Wilson Junior)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(penyerang Seman Padang,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(saat ini)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(gol)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(penyerang tim lain)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Adama Kon)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Wilson koleksi)-(Yangon United)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(Penyerang tim nasional)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Wilson koleksi)-(Liberia)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(delapan gol)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(berkat permainan impresif)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Semen Padang setiap)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(pertandingannya,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(gol pertama)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(putaran grup E)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Wilson saat pertandingan)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Wilson koleksi)-(Warrior FC)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Wilson koleksi)-((Singapore)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Armed Forces)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Wilson koleksi)-(asal Singapura,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(5 maret 2013)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(satu gol,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(satu gol)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(markas Kitchee FC)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Hongkong,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(2 April 2013)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(penyerang utama)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(klub sepak bola asal Ranah Minang ini)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(dua gol)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(gawang Kitchee FC)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(tuan rumah)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Gor H Agus Salim Padang)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(10 April 2013)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Wilson)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Wilson koleksi)-(pencetak)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(dua gol kemenangan)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(skor)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(0-2 saat)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(kandang Warrior FC,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(stadion Jalan Besar)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Stadium,)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Wilson koleksi)-(24 April 2013)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(pertandingan terakhir)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Wilson)]";false;true;false;false;false;false;true;PERSON;PERSON
"[(Wilson koleksi)-(dua gol)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(Stadion H Agus Salim Padang,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(tim tamu Churchill Brothers,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(India,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Wilson koleksi)-(Rabu)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Wilson koleksi)-(tuan rumah)]";false;true;false;false;false;false;false;PERSON;OTHER
