mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Mendikbud dan Perusahaan Percetakan UN)-(Dipanggil DPR Komisi)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Mendikbud dan Perusahaan Percetakan UN)-(DPR RI)]";false;true;false;false;false;true;false;PERSON;ORGANIZATION
"[(Mendikbud dan Perusahaan Percetakan UN)-(Menteri Pendidikan dan Kebudayaan M Nuh)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Mendikbud dan Perusahaan Percetakan UN)-(perusahaan pencetakan kertas Ujian Nasional)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(PT Ghalia)]";false;true;false;false;false;true;false;PERSON;ORGANIZATION
"[(Mendikbud dan Perusahaan Percetakan UN)-(pekan depan)]";false;true;false;false;false;true;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(Komisi Pendidikan)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Mendikbud dan Perusahaan Percetakan UN)-(terjadinya)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(penundaan Ujian Nasional)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(setingkat SMA)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(11 provinsi)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-("Minggu depan)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(Pendapat)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Mendikbud dan Perusahaan Percetakan UN)-(kita)]";false;true;false;false;true;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(izin)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(Ketua DPR RI)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Mendikbud dan Perusahaan Percetakan UN)-(laksanakan RDP)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(pemanggilan reses,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Mendikbud dan Perusahaan Percetakan UN)-(Ketua Komisi)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Mendikbud dan Perusahaan Percetakan UN)-(DPR RI Agus Hermanto)]";false;true;false;false;false;false;false;PERSON;ORGANIZATION
"[(Mendikbud dan Perusahaan Percetakan UN)-(Kompleks Parlemen)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Mendikbud dan Perusahaan Percetakan UN)-(Jakarta,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Mendikbud dan Perusahaan Percetakan UN)-(Senin)]";false;true;false;false;false;false;false;PERSON;OTHER
