mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Ahmadinejad: Iran-Turki)-(kepentingan)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Presiden Iran Mahmoud Ahmadinejad,)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Sabtu)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(menteri pembangunan Turki)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Iran dan Turki)]";false;false;false;false;false;true;false;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(kepentingan bersama)]";false;false;false;false;false;true;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-("Iran dan Turki)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(negara besar)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(bakat)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(perkembangan hubungan)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(unbtuk kepenting)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(negara)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(wilayah ini,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Ahmadinejad)]";false;false;false;false;false;false;true;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-("Musuh bersama")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(negara)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(perluasan hubungan)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(negara,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(mereka,)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Ahmadinejad)]";false;false;false;false;false;false;true;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-(Press TV)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-(Menteri Pembangunan Turki Cevdet Yilmaz)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-(perluasan hubungan Iran-Turki)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(masa pemerintahan Ahmadinejad,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(laporan Xinhua)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Jakarta)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(Ahad malam)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-(Yilmaz)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(negaranya)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(kerja sama)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Republik Islam)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-(Menteri Turki)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-(Teheran dan Ankara)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(kepentingan)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(masalah regional)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(kami)]";false;false;false;false;true;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(perbedaan pendapat)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(masalah)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Turki)]";false;false;false;false;false;false;true;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(masa depan dan nasib)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(bersama,")]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Press TV)]";false;false;false;false;false;false;false;PERSON;PERSON
"[(Ahmadinejad: Iran-Turki)-(Turki)]";false;false;false;false;false;false;true;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(volume transaksi perdagangan)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Iran)]";false;false;false;false;false;false;true;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(dolar AS)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(jumlahnya)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(saat ini,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(miliar dolar,)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Yilmaz,)]";false;false;false;false;false;false;false;PERSON;LOCATION
"[(Ahmadinejad: Iran-Turki)-(satu delegasi ekonomi)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(kunjungan tiga-hari)]";false;false;false;false;false;false;false;PERSON;OTHER
"[(Ahmadinejad: Iran-Turki)-(Iran)]";false;false;false;false;false;false;true;PERSON;LOCATION
"[(kepentingan)-(Presiden Iran Mahmoud Ahmadinejad,)]";false;false;false;false;false;true;false;OTHER;OTHER
"[(kepentingan)-(Sabtu)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(kepentingan)-(menteri pembangunan Turki)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(kepentingan)-(Iran dan Turki)]";false;true;false;false;false;true;false;OTHER;LOCATION
"[(kepentingan)-(kepentingan bersama)]";false;true;false;false;false;true;true;OTHER;OTHER
"[(kepentingan)-("Iran dan Turki)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(negara besar)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(bakat)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(perkembangan hubungan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(unbtuk kepenting)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(negara)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(wilayah ini,")]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Ahmadinejad)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-("Musuh bersama")]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(negara)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(perluasan hubungan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(negara,)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(mereka,)]";false;false;false;false;true;false;false;OTHER;OTHER
"[(kepentingan)-(Ahmadinejad)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-(Press TV)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-(Menteri Pembangunan Turki Cevdet Yilmaz)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-(perluasan hubungan Iran-Turki)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(masa pemerintahan Ahmadinejad,)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(laporan Xinhua)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Jakarta)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(kepentingan)-(Ahad malam)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-(Yilmaz)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(kepentingan)-(negaranya)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(kerja sama)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Republik Islam)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-(Menteri Turki)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-(Teheran dan Ankara)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(kepentingan)-(kepentingan)]";true;true;false;false;false;false;true;OTHER;OTHER
"[(kepentingan)-(masalah regional)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(kami)]";false;true;false;false;true;false;false;OTHER;OTHER
"[(kepentingan)-(perbedaan pendapat)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(masalah)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Turki)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(kepentingan)-(masa depan dan nasib)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(bersama,")]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Press TV)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(kepentingan)-(Turki)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(kepentingan)-(volume transaksi perdagangan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Iran)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(kepentingan)-(dolar AS)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(jumlahnya)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(saat ini,)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(miliar dolar,)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Yilmaz,)]";false;false;false;false;false;false;false;OTHER;LOCATION
"[(kepentingan)-(satu delegasi ekonomi)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(kunjungan tiga-hari)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(kepentingan)-(Iran)]";false;true;false;false;false;false;false;OTHER;LOCATION
"[(Presiden Iran Mahmoud Ahmadinejad,)-(Sabtu)]";false;false;false;false;false;true;false;OTHER;OTHER
